,1982-06-01,1983-06-01,1984-06-01,1985-06-01,1986-06-01,1987-06-01,1988-06-01,1989-06-01,1990-06-01,1991-06-01,1992-06-01,1993-06-01,1994-06-01,1995-06-01,1996-06-01,1997-06-01,1998-06-01,1999-06-01,2000-06-01,2001-06-01,2002-06-01,2003-06-01,2004-06-01,2005-06-01,2006-06-01,2007-06-01,2008-06-01,2009-06-01,2010-06-01,2011-06-01,2012-06-01,2013-06-01,2014-06-01,2015-06-01,2016-06-01,2017-06-01,2018-06-01,2019-06-01
556,16.568666458129883,14.058667182922363,14.107999801635742,14.829333305358887,15.093999862670898,13.333999633789062,12.796332359313965,15.852666854858398,14.301666259765625,15.207666397094727,15.414999961853027,14.660333633422852,15.705666542053223,13.947000503540039,14.884332656860352,15.76099967956543,15.005331993103027,14.037667274475098,16.3093318939209,16.557998657226562,15.828999519348145,14.642999649047852,15.570666313171387,16.841333389282227,15.282999992370605,14.591334342956543,14.131333351135254,15.620332717895508,15.826333999633789,15.791333198547363,15.326665878295898,14.192334175109863,16.044334411621094,16.942665100097656,12.386999130249023,16.717666625976562,14.940665245056152,15.755999565124512
557,16.568666458129883,14.058667182922363,14.107999801635742,14.829333305358887,15.093999862670898,13.333999633789062,12.796332359313965,15.852666854858398,14.301666259765625,15.207666397094727,15.414999961853027,14.660333633422852,15.705666542053223,13.947000503540039,14.884332656860352,15.76099967956543,15.005331993103027,14.037667274475098,16.3093318939209,16.557998657226562,15.828999519348145,14.642999649047852,15.570666313171387,16.841333389282227,15.282999992370605,14.591334342956543,14.131333351135254,15.620332717895508,15.826333999633789,15.791333198547363,15.326665878295898,14.192334175109863,16.044334411621094,16.942665100097656,12.386999130249023,16.717666625976562,14.940665245056152,15.755999565124512
560,17.317331314086914,14.75233268737793,14.866333961486816,15.742000579833984,16.336332321166992,13.741999626159668,13.71966552734375,16.636667251586914,15.067998886108398,15.859333038330078,16.996999740600586,15.282999992370605,16.15833282470703,15.105999946594238,16.224666595458984,16.472667694091797,15.76433277130127,14.937333106994629,17.119665145874023,17.357666015625,16.716333389282227,15.387666702270508,16.359333038330078,17.76166534423828,16.117000579833984,15.462000846862793,15.0426664352417,16.55900001525879,16.465665817260742,16.52666664123535,16.00299835205078,14.930001258850098,16.74599838256836,17.272001266479492,13.460332870483398,17.51166534423828,16.286998748779297,16.77866554260254
561,17.448999404907227,15.197000503540039,15.295331954956055,16.364999771118164,16.93466567993164,14.253999710083008,14.350666999816895,17.009666442871094,15.548333168029785,16.05499839782715,17.941333770751953,15.875667572021484,16.70800018310547,15.868666648864746,16.927000045776367,16.753332138061523,16.4863338470459,15.659332275390625,17.713001251220703,17.71233367919922,17.330333709716797,16.014333724975586,16.779333114624023,17.88199806213379,16.61400032043457,16.54166603088379,15.691332817077637,17.411998748779297,16.705331802368164,17.058000564575195,16.397998809814453,15.501999855041504,17.091999053955078,17.68899917602539,14.899998664855957,18.23033332824707,17.540334701538086,17.489665985107422
562,18.9146671295166,17.272335052490234,17.52166748046875,18.163331985473633,18.038667678833008,16.424665451049805,16.856666564941406,18.705331802368164,17.33766746520996,17.295331954956055,19.5396671295166,17.876333236694336,19.084665298461914,17.872669219970703,18.456998825073242,17.47966766357422,18.529333114624023,17.753332138061523,19.206998825073242,18.965999603271484,19.036998748779297,17.959665298461914,18.630664825439453,18.736331939697266,18.409666061401367,19.44700050354004,18.48999786376953,19.924333572387695,18.130332946777344,19.100000381469727,18.637666702270508,18.246334075927734,19.483333587646484,19.71066665649414,18.640331268310547,20.257999420166016,20.242000579833984,19.887332916259766
564,16.419668197631836,14.457999229431152,14.533998489379883,15.427666664123535,15.697332382202148,13.28499984741211,13.518665313720703,16.654333114624023,15.050000190734863,16.698665618896484,16.14299964904785,15.253999710083008,16.6113338470459,14.757332801818848,15.314666748046875,16.235998153686523,15.425999641418457,14.64699935913086,16.540666580200195,17.30699920654297,16.25933265686035,15.049332618713379,15.791666984558105,17.808000564575195,16.020668029785156,14.432666778564453,14.360333442687988,15.720666885375977,16.770998001098633,15.858999252319336,15.852334022521973,15.20300006866455,16.22333335876465,17.112667083740234,12.636666297912598,16.232999801635742,14.798666954040527,18.086999893188477
565,17.70466423034668,15.287667274475098,15.980332374572754,16.095666885375977,16.3713321685791,14.290665626525879,14.658666610717773,17.049665451049805,15.80099868774414,16.536666870117188,17.672330856323242,15.693999290466309,16.963665008544922,15.668665885925293,16.78766632080078,17.251996994018555,16.17966651916504,15.750998497009277,17.51599884033203,17.61499786376953,17.691999435424805,16.062334060668945,16.516332626342773,18.174999237060547,16.566333770751953,16.413331985473633,15.525665283203125,17.34233283996582,16.862998962402344,17.218997955322266,16.216333389282227,15.106998443603516,16.576332092285156,17.694332122802734,14.606667518615723,17.994998931884766,17.01999855041504,17.956331253051758
566,18.710664749145508,17.05466651916504,17.29633140563965,17.395999908447266,17.40166664123535,16.056333541870117,16.795331954956055,18.44099998474121,17.44466781616211,17.547332763671875,19.031665802001953,17.36833381652832,18.700664520263672,17.665666580200195,17.993000030517578,17.75200080871582,18.270666122436523,17.312999725341797,18.71500015258789,19.010332107543945,18.922332763671875,17.789331436157227,17.82233238220215,18.759666442871094,18.03999900817871,19.194332122802734,17.860332489013672,19.259334564208984,17.961666107177734,18.592668533325195,17.987667083740234,17.416332244873047,18.555665969848633,19.503332138061523,17.779998779296875,19.67366600036621,19.84000015258789,19.43400001525879
568,18.710664749145508,17.05466651916504,17.29633140563965,17.395999908447266,17.40166664123535,16.056333541870117,16.795331954956055,18.44099998474121,17.44466781616211,17.547332763671875,19.031665802001953,17.36833381652832,18.700664520263672,17.665666580200195,17.993000030517578,17.75200080871582,18.270666122436523,17.312999725341797,18.71500015258789,19.010332107543945,18.922332763671875,17.789331436157227,17.82233238220215,18.759666442871094,18.03999900817871,19.194332122802734,17.860332489013672,19.259334564208984,17.961666107177734,18.592668533325195,17.987667083740234,17.416332244873047,18.555665969848633,19.503332138061523,17.779998779296875,19.67366600036621,19.84000015258789,19.43400001525879
569,18.581998825073242,16.189666748046875,16.534666061401367,16.701332092285156,16.909332275390625,15.548331260681152,15.861665725708008,18.001001358032227,17.03333282470703,17.759334564208984,18.090665817260742,16.400333404541016,18.05733299255371,16.98933219909668,17.643333435058594,18.048667907714844,17.2363338470459,16.663665771484375,18.1510009765625,18.50233268737793,18.48066520690918,17.30033302307129,17.378332138061523,19.442331314086914,18.077999114990234,17.687665939331055,17.16699981689453,18.319334030151367,17.78133201599121,18.093997955322266,17.53499984741211,16.029333114624023,17.955665588378906,18.67099952697754,15.835000038146973,19.121999740600586,18.031333923339844,18.784666061401367
570,19.329999923706055,17.55033302307129,17.53066635131836,17.529666900634766,17.621000289916992,16.632999420166016,17.16933250427246,19.036998748779297,18.451332092285156,18.700664520263672,19.117332458496094,17.482999801635742,18.795665740966797,17.94700050354004,18.683666229248047,18.415332794189453,18.57233238220215,17.58333396911621,18.838335037231445,19.321998596191406,19.44533348083496,18.174665451049805,18.347332000732422,19.797998428344727,18.959333419799805,19.22966766357422,18.678667068481445,19.58766746520996,18.702667236328125,18.83466339111328,18.953332901000977,17.902666091918945,19.452999114990234,19.946001052856445,18.06366539001465,20.153331756591797,19.657331466674805,20.15533447265625
571,19.329999923706055,17.55033302307129,17.53066635131836,17.529666900634766,17.621000289916992,16.632999420166016,17.16933250427246,19.036998748779297,18.451332092285156,18.700664520263672,19.117332458496094,17.482999801635742,18.795665740966797,17.94700050354004,18.683666229248047,18.415332794189453,18.57233238220215,17.58333396911621,18.838335037231445,19.321998596191406,19.44533348083496,18.174665451049805,18.347332000732422,19.797998428344727,18.959333419799805,19.22966766357422,18.678667068481445,19.58766746520996,18.702667236328125,18.83466339111328,18.953332901000977,17.902666091918945,19.452999114990234,19.946001052856445,18.06366539001465,20.153331756591797,19.657331466674805,20.15533447265625
573,18.02033233642578,15.857666015625,16.863666534423828,17.626001358032227,18.41866683959961,16.16499900817871,16.744667053222656,18.343666076660156,17.65133285522461,18.441667556762695,18.84033203125,17.058000564575195,18.402000427246094,18.482666015625,17.77466583251953,18.32433319091797,17.203332901000977,17.009000778198242,18.355998992919922,19.040332794189453,18.558000564575195,17.30733299255371,17.988666534423828,20.18866729736328,18.30966567993164,16.559999465942383,16.893667221069336,18.0223331451416,18.356664657592773,18.803667068481445,17.91666603088379,16.864999771118164,18.292999267578125,19.51166534423828,15.557999610900879,18.735998153686523,17.831998825073242,20.150333404541016
574,18.02033233642578,15.857666015625,16.863666534423828,17.626001358032227,18.41866683959961,16.16499900817871,16.744667053222656,18.343666076660156,17.65133285522461,18.441667556762695,18.84033203125,17.058000564575195,18.402000427246094,18.482666015625,17.77466583251953,18.32433319091797,17.203332901000977,17.009000778198242,18.355998992919922,19.040332794189453,18.558000564575195,17.30733299255371,17.988666534423828,20.18866729736328,18.30966567993164,16.559999465942383,16.893667221069336,18.0223331451416,18.356664657592773,18.803667068481445,17.91666603088379,16.864999771118164,18.292999267578125,19.51166534423828,15.557999610900879,18.735998153686523,17.831998825073242,20.150333404541016
576,18.68033218383789,16.80299949645996,17.923667907714844,17.816999435424805,18.481332778930664,16.530000686645508,17.631000518798828,19.288331985473633,18.020999908447266,19.009666442871094,19.010000228881836,17.848331451416016,19.12333106994629,18.213998794555664,18.275333404541016,18.69533348083496,17.886999130249023,17.454668045043945,18.738000869750977,19.906665802001953,19.266332626342773,17.692331314086914,18.67333221435547,21.034334182739258,18.766332626342773,17.003332138061523,17.15999984741211,18.583667755126953,18.917667388916016,18.89099884033203,18.229665756225586,17.218997955322266,18.192665100097656,19.854333877563477,15.480666160583496,18.628999710083008,17.799665451049805,20.492000579833984
579,18.696332931518555,16.959001541137695,17.64533233642578,18.127330780029297,19.216333389282227,17.27199935913086,17.415666580200195,19.420665740966797,17.85066795349121,19.372333526611328,19.809999465942383,18.46233367919922,19.526334762573242,19.23466682434082,18.732332229614258,18.80733299255371,18.167667388916016,17.888334274291992,19.2066650390625,20.240331649780273,19.503999710083008,18.16466522216797,19.152332305908203,21.26566505432129,19.146333694458008,16.630666732788086,17.18666648864746,18.984333038330078,19.319665908813477,19.18833351135254,18.832332611083984,17.650667190551758,18.71333122253418,20.08833122253418,15.314666748046875,18.961000442504883,17.963001251220703,21.06566619873047
580,20.014997482299805,18.153331756591797,19.549665451049805,19.022335052490234,19.546998977661133,18.551664352416992,18.731998443603516,20.32699966430664,19.556331634521484,20.588666915893555,20.16233253479004,19.753665924072266,20.90999984741211,20.15166664123535,20.024999618530273,20.077665328979492,20.073999404907227,19.260997772216797,20.02433204650879,21.314332962036133,21.14299964904785,19.739330291748047,20.171667098999023,22.320667266845703,21.108667373657227,19.1843318939209,19.71966552734375,20.264997482299805,20.172666549682617,20.128665924072266,20.055997848510742,20.244998931884766,19.44333267211914,21.85133171081543,19.167999267578125,20.406665802001953,20.243663787841797,22.461666107177734
581,20.014997482299805,18.153331756591797,19.549665451049805,19.022335052490234,19.546998977661133,18.551664352416992,18.731998443603516,20.32699966430664,19.556331634521484,20.588666915893555,20.16233253479004,19.753665924072266,20.90999984741211,20.15166664123535,20.024999618530273,20.077665328979492,20.073999404907227,19.260997772216797,20.02433204650879,21.314332962036133,21.14299964904785,19.739330291748047,20.171667098999023,22.320667266845703,21.108667373657227,19.1843318939209,19.71966552734375,20.264997482299805,20.172666549682617,20.128665924072266,20.055997848510742,20.244998931884766,19.44333267211914,21.85133171081543,19.167999267578125,20.406665802001953,20.243663787841797,22.461666107177734
582,19.062334060668945,17.4963321685791,18.2983341217041,18.48499870300293,19.7239990234375,16.79433250427246,17.132665634155273,19.66033363342285,17.9183349609375,19.64666748046875,19.953332901000977,18.90399932861328,19.608999252319336,19.03533172607422,19.029666900634766,18.997997283935547,18.259998321533203,18.227998733520508,19.74566650390625,20.283666610717773,19.59600067138672,18.92966651916504,19.294666290283203,21.696001052856445,19.354333877563477,16.874000549316406,17.45199966430664,19.35033416748047,19.48966407775879,19.33300018310547,19.271333694458008,17.77433204650879,19.003332138061523,19.93633270263672,15.336666107177734,19.127330780029297,18.48533058166504,21.209333419799805
583,19.374666213989258,17.762332916259766,18.32433319091797,18.531999588012695,19.593334197998047,17.18866539001465,17.70199966430664,19.8353328704834,18.223665237426758,19.695667266845703,19.81399917602539,18.86199951171875,19.78499984741211,19.277000427246094,19.3663330078125,19.357666015625,18.48900032043457,18.483667373657227,19.90966796875,20.583667755126953,20.10966682434082,19.117000579833984,19.506330490112305,21.860998153686523,19.597333908081055,17.13100242614746,17.826332092285156,19.380001068115234,19.483333587646484,19.547334671020508,19.099332809448242,18.198331832885742,19.139997482299805,20.441333770751953,15.950665473937988,19.54633331298828,18.652000427246094,21.48866844177246
584,20.26133155822754,19.441333770751953,19.267000198364258,19.409332275390625,19.87799835205078,18.65366554260254,19.00899887084961,20.667665481567383,19.314664840698242,20.437664031982422,20.191333770751953,19.621000289916992,20.646333694458008,19.860998153686523,20.611665725708008,20.01566505432129,19.49833106994629,19.764665603637695,20.777332305908203,21.409666061401367,21.39099884033203,20.43033218383789,20.475000381469727,22.460664749145508,20.501667022705078,19.095333099365234,19.832332611083984,20.467334747314453,20.25266456604004,20.227664947509766,19.893999099731445,19.80933380126953,20.464998245239258,21.792665481567383,18.961999893188477,20.8799991607666,20.00133514404297,22.28766632080078
